2025-04-21 00:55:27.374 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:27.374 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x9e16f5ff0d0ce2a6b551211afe25084cfdc35612) already exists.
2025-04-21 00:55:27.374 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:28.102 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:28.102 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xb8a5f65865f4db8b7c49992e9a05320334965243) already exists.
2025-04-21 00:55:28.102 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:30.365 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:30.365 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x65914158e7a82413804510fee3421fe18856a043) already exists.
2025-04-21 00:55:30.365 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:30.970 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:30.970 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbbeb3d9ecfb4ff9ead33824c84c12d2ad7f589b5) already exists.
